"AA",12.91,-0.58,44435536
"AXP",37.53,-0.80,12606060
"BA",59.32,-2.14,7409983
"BAC",14.75,-0.78,248772560
"CAT",51.40,-1.99,11565321
"CSCO",23.16,+0.09,124792000
"CVX",71.37,-1.84,15052906
"DD",32.52,-0.97,9253667
"DIS",29.67,-1.08,13229727
"GE",16.04,-0.64,108905984
"HD",27.93,-0.54,19582552
"HPQ",47.03,-1.70,21402008
"IBM",123.00,-2.66,9005858
"INTC",19.02,-0.66,90223120
"JNJ",62.64,-0.99,18126298
"JPM",38.35,-1.94,55980136
"KFT",28.39,-0.09,58694156
"KO",53.43,-1.44,10465004
"MCD",64.06,-1.15,10763038
"MMM",79.21,-2.29,5235764
"MRK",37.10,-1.62,25060084
"MSFT",27.84,-0.79,76889936
"PFE",18.03,-0.59,93524120
"PG",61.40,-1.25,13996748
"T",25.03,-0.55,31805552
"TRV",49.73,-0.84,6488069
"UTX",66.38,-1.86,5885272
"VZ",28.63,-0.56,26710756
"WMT",52.97,-1.30,20805372
"XOM",64.72,-1.88,33405402
